Suburb,Address,Type,Method,SellerG,Date,CouncilArea,Regionname
Abbotsford,85 Turner St,h,S,Biggin,3/12/2016,Yarra,Northern Metropolitan
Abbotsford,25 Bloomburg St,h,S,Biggin,4/02/2016,Yarra,Northern Metropolitan
Abbotsford,5 Charles St,h,SP,Biggin,4/03/2017,Yarra,Northern Metropolitan
Abbotsford,40 Federation La,h,PI,Biggin,4/03/2017,Yarra,Northern Metropolitan
Abbotsford,55a Park St,h,VB,Nelson,4/06/2016,Yarra,Northern Metropolitan
Abbotsford,129 Charles St,h,S,Jellis,7/05/2016,Yarra,Northern Metropolitan
Abbotsford,124 Yarra St,h,S,Nelson,7/05/2016,Yarra,Northern Metropolitan
Abbotsford,98 Charles St,h,S,Nelson,8/10/2016,Yarra,Northern Metropolitan
Abbotsford,6/241 Nicholson St,u,S,Biggin,8/10/2016,Yarra,Northern Metropolitan
Abbotsford,10 Valiant St,h,S,Biggin,8/10/2016,Yarra,Northern Metropolitan
Abbotsford,411/8 Grosvenor St,u,VB,Jellis,12/11/2016,Yarra,Northern Metropolitan
Abbotsford,40 Nicholson St,h,VB,Nelson,12/11/2016,Yarra,Northern Metropolitan
Abbotsford,123/56 Nicholson St,u,S,Biggin,12/11/2016,Yarra,Northern Metropolitan
Abbotsford,45 William St,h,S,Biggin,13/08/2016,Yarra,Northern Metropolitan
Abbotsford,7/20 Abbotsford St,u,SP,Greg,14/05/2016,Yarra,Northern Metropolitan
Abbotsford,16 William St,h,S,Jellis,15/10/2016,Yarra,Northern Metropolitan
Abbotsford,42 Henry St,h,S,Jellis,16/07/2016,Yarra,Northern Metropolitan
Abbotsford,78 Yarra St,h,S,LITTLE,16/07/2016,Yarra,Northern Metropolitan
Abbotsford,196 Nicholson St,h,S,Collins,17/09/2016,Yarra,Northern Metropolitan
Abbotsford,42 Valiant St,h,S,Biggin,17/09/2016,Yarra,Northern Metropolitan
Abbotsford,3/72 Charles St,h,PI,Kay,18/03/2017,Yarra,Northern Metropolitan
Abbotsford,13/11 Nicholson St,t,S,Beller,18/03/2017,Yarra,Northern Metropolitan
Abbotsford,138/56 Nicholson St,u,S,Jellis,18/03/2017,Yarra,Northern Metropolitan
Abbotsford,6/219 Nicholson St,u,S,Collins,18/06/2016,Yarra,Northern Metropolitan
Abbotsford,52a William St,h,PI,Biggin,18/06/2016,Yarra,Northern Metropolitan
Abbotsford,49 Park St,h,S,Marshall,19/11/2016,Yarra,Northern Metropolitan
